,Name,Description
0,Google India,"Google India is a subsidiary of Google LLC and is headquartered in Hyderabad, India. The company is known for its employee-friendly policies, work culture, and cutting-edge technology. Google India has consistently been ranked as one of the best companies to work for in India due to its emphasis on employee well-being and professional development."
1,Amazon India,"Amazon India is a subsidiary of Amazon.com and is headquartered in Bengaluru, India. The company is known for its customer-centric approach and innovation in e-commerce. Amazon India offers a wide range of job opportunities across various functions and is a preferred employer for many young professionals."
2,Flipkart,"Flipkart is an Indian e-commerce company that was acquired by Walmart in 2018. The company is known for its customer-centric approach, innovative business model, and focus on employee development. Flipkart offers a wide range of job opportunities across various functions and is a preferred employer for many young professionals."
3,TATA Consultancy Services (TCS),"TCS is an Indian multinational information technology services and consulting company headquartered in Mumbai, India. The company is known for its focus on employee development and training. TCS offers a wide range of job opportunities across various functions and is a preferred employer for many young professionals."
4,Infosys,"Infosys is an Indian multinational information technology services and consulting company headquartered in Bengaluru, India. The company is known for its employee-friendly policies and focus on innovation. Infosys offers a wide range of job opportunities across various functions and is a preferred employer for many young professionals."
5,Accenture,"Accenture is a multinational professional services firm headquartered in Dublin, Ireland. The company has a strong presence in India and is known for its focus on employee development and training. Accenture offers a wide range of job opportunities across various functions and is a preferred employer for many young professionals."
6,Wipro,"Wipro is an Indian multinational corporation that provides information technology, consulting, and business process services. The company is headquartered in Bengaluru, India and is known for its focus on employee development and innovation. Wipro offers a wide range of job opportunities across various functions and is a preferred employer for many young professionals."
7,HCL Technologies,"HCL Technologies is an Indian multinational information technology services and consulting company headquartered in Noida, India. The company is known for its focus on employee development and innovation. HCL Technologies offers a wide range of job opportunities across various functions and is a preferred employer for many young professionals."
8,Deloitte India,"Deloitte India is a subsidiary of Deloitte Touche Tohmatsu Limited, a multinational professional services firm headquartered in London, UK. The company has a strong presence in India and is known for its focus on employee development and training. Deloitte India offers a wide range of job opportunities across various functions and is a preferred employer for many young professionals."
9,IBM India,"IBM India is a subsidiary of IBM, a multinational technology and consulting corporation headquartered in Armonk, New York. The company has a strong presence in India and is known for its focus on employee development and innovation. IBM India offers a wide range of job opportunities across various functions and is a preferred employer for many young professionals."
10,Microsoft India,"Microsoft India is a subsidiary of Microsoft Corporation, a multinational technology company headquartered in Redmond, Washington. The company has a strong presence in India and is known for its focus on innovation and employee development. Microsoft India offers a wide range of job opportunities across various functions and is a preferred employer for many young professionals."
11,Facebook India,"Facebook India is a subsidiary of Facebook, a social media giant headquartered in Menlo Park, California. The company has a strong presence in India and is known for its focus on innovation and employee development. Facebook India offers a wide range of job opportunities across various functions and is a preferred employer for many young professionals."
12,Adobe India,"Adobe India is a subsidiary of Adobe Systems, a multinational computer software company headquartered in San Jose, California. The company has a strong presence in India and is known for its focus on employee development and innovation. Adobe India offers a wide range of job opportunities across various functions and is a preferred employer for many young professionals."
13,Cisco India,"Cisco India is a subsidiary of Cisco Systems, a multinational technology company headquartered in San Jose, California. The company has a strong presence in India and is known for its focus on innovation and employee development. Cisco India offers a wide range of job opportunities across various functions and is a preferred employer for many young professionals."
14,Intel India,"Intel India is a subsidiary of Intel Corporation, a multinational technology company headquartered in Santa Clara, California. The company has a strong presence in India and is known for its focus on innovation and employee development. Intel India offers a wide range of job opportunities across various functions and is a preferred employer for many young professionals."
15,Larsen & Toubro (L&T),"L&T is an Indian multinational conglomerate headquartered in Mumbai, India. The company is known for its focus on employee development and innovation across various sectors such as construction, engineering, and technology. L&T offers a wide range of job opportunities across various functions and is a preferred employer for many young professionals."
16,Mahindra & Mahindra (M&M),"M&M is an Indian multinational automobile manufacturing corporation headquartered in Mumbai, India. The company is known for its focus on employee development and innovation in the automobile sector. M&M offers a wide range of job opportunities across various functions and is a preferred employer for many young professionals."
17,Reliance Industries,"Reliance Industries is an Indian multinational conglomerate headquartered in Mumbai, India. The company has a strong presence in various sectors such as petrochemicals, refining, and telecommunications. Reliance Industries is known for its focus on employee development and innovation and offers a wide range of job opportunities across various functions."
18,HUL (Hindustan Unilever Limited),"HUL is an Indian consumer goods company headquartered in Mumbai, India. The company is known for its focus on employee development and innovation in the FMCG (Fast-Moving Consumer Goods) sector. HUL offers a wide range of job opportunities across various functions and is a preferred employer for many young professionals."
19,Asian Paints,"Asian Paints is an Indian multinational paint company headquartered in Mumbai, India. The company is known for its focus on employee development and innovation in the paint industry. Asian Paints offers a wide range of job opportunities across various functions and is a preferred employer for many young professionals."
